Test #,Write Times,Read Times
0,5.43257,0.00455551
1,6.40471,0.00429839
2,5.99862,0.00459232
3,3.91985,0.00467935
4,4.85167,0.00493353
5,3.84457,0.00516466
6,4.2528,0.00469752
7,3.77723,0.00495242
8,4.33079,0.00467935
9,5.13588,0.00464162
10,4.2878,0.00392493
11,5.04101,0.00455096
12,3.88893,0.00533601
13,4.74865,0.0089055
14,3.78959,0.00520039
,Avg = 4.646978000000001,Avg = 0.005007497333333333
,stderr = 0.21384664408825665,stderr = 0.0011363458850283889
,       = 4.60184326433774 %,       = 5.859279123924684 %
