Test #,Write Times,Read Times
0,5.21405,0.0076394
1,4.38524,0.00587776
2,4.27876,0.00558874
3,4.50705,0.00708329
4,4.45527,0.0069601
5,4.09775,0.00588362
6,4.54856,0.00603005
7,4.51735,0.00700246
8,4.09547,0.00595125
9,4.5007,0.00709045
,Avg = 4.46002,Avg = 0.006510712
,stderr = 0.09922813437282352,stderr = 0.0007125527390508642
,       = 2.2248360853274987 %,       = 3.4608958411804065 %
